#Brand;BrandDescription;TotalQuantitySales;TotalQuantityPurchase;Profit;MarginPercent
26017;L'Excellence Blanc 2015;166;186;386.10;30
27005;Ghost Block Est Cab Svgn;35;72;-838.67;-29
46098;Ch Ste Michelle Rsl Dry Colu;7205;7325;25640.20;58
25602;Ramey Cab Svgn Pedregal Vyd;24;44;-868.52;-16
20016;Camelot Pnt Nr;6;24;-87.18;-62
1263;The Cally 40 Yr Single Malt;2;7;-4012.16;-63
44724;Meerlust Rubicon Stellenbos;30;61;-330.56;-26
38103;Canyon Oaks Cab Svgn Cal;473;483;1836.25;48
18948;Austin Hope 10 Syrah;12;21;-65.55;-13
25905;Miner Svgn Bl Napa;114;168;-20.82;-1
108;Mr Boston Peppermint Schnaps;73;83;77.86;20
24065;Camelot Cab Svgn;8;24;-92.80;-51
18380;Antinori Tenuta Marchese;552;576;7172.00;51
16393;Alamos Red Mendoza;2727;2788;12457.05;96
43092;Oberon Cab Svgn Napa;4153;4255;31497.07;51
17143;Caposaldo Pnk Merlot Moscato;11;28;-118.75;-42
43363;Elk Cove Mt Richmond Pnt Nr;18;41;-403.78;-33
36770;Yellow Tail Cab Svgn Ausl;33726;34120;117048.90;56
4634;Gold Crown Wh Rum;11782;12101;32924.40;32
3835;Smirnoff Raspberry Vodka;17843;18129;65138.77;44
131;J Lohr Carols Vyd Svgn Bl;14;30;-85.74;-28
3915;Sauza Silver Tequila;7471;7615;28508.09;39
3042;Ciroc Red Berry Vodka;10919;11709;39925.11;40
24700;Cavas Hill 1887 Brut Cava;126;183;180.22;12
2142;Bird Dog Apple Whiskey;3369;3625;13798.81;37
42337;St Francis Red Sonoma;50;66;67.02;14
16775;Lucky Duck Moscato;60;71;51.32;29
6981;J Lohr Cypress Merlot;71;72;197.65;45
25260;Lavergne Brdx Rouge;1235;1307;3084.32;45
19577;Forma de Art Red;478;487;2528.07;55
5153;Fireball Cinn Whisky Trav;25465;25499;114821.79;43
27342;19 Crimes The Banished Red;3;1065;-9247.83;-100
26620;Dom Paul Cherrier Sanc Rose;16;168;-1964.96;-86
38133;Il Bastardo Sangiovese Tosc;15580;15618;52268.64;85
26709;Fontanafredda Arneis Langhe;179;235;161.61;11
6199;Zwack Liqueur;12;13;37.95;20
398;S S Pierce Ninety Nine Gin;9;11;5.48;9
25196;La Pommeraie de Brown Pessac;36;169;-2125.62;-68
2901;Templeton 6 Yr Old Rye;90;311;-7838.27;-64
15303;The Usual Suspect Cab Svgn;35;48;97.17;38
861;Barton Gin;978;1010;1630.52;35
25867;D Cabirau CdRoussillon Rouge;64;144;-593.68;-33
3858;Grey Goose Vodka;109620;138809;917276.11;37
25697;Artesa Cab Svgn Estate Rsv;8;85;-3543.03;-86
2695;Rebel Yell Ginger Whiskey;611;1001;-3749.21;-34
27802;Moet & Chandon Imperial;1962;2081;14066.65;41
24694;Cormons Schioppettino;28;34;59.08;19
800;Jameson Irish Whiskey;11943;15142;104876.99;29
15297;Flip Flop Rsl;64;79;197.73;63
25562;Elvio Cogno Barolo Ravera;119;155;1237.56;17
12496;Cupcake Petit Sirah Cal;63;72;189.11;54
3676;Permafrost Alaskan Vodka;234;474;-6506.34;-44
18246;Churchill's Vintage Port 11;9;10;98.91;31
18967;Sprinkle Red Blend;7;24;-53.35;-56
25478;Estro d Piona Sparkling Rose;25;48;-133.93;-23
13669;Folk Machine Pnt Nr;101;120;476.89;32
13215;Moet Nectar Imperial Rose;1211;1757;12759.53;42
4327;Capt Morgan Spiced Rum 100;4551;4628;21465.81;31
20319;Jonathan Edwards Chard;7;36;-370.15;-72
